Date,Volume
1982-08-31,140560000
1982-09-01,82566400
1982-09-02,75420800
1982-09-03,104540800
1982-09-07,81379200
1982-09-08,72329600
1982-09-09,63593600
1982-09-10,56067200
1982-09-13,58889600
1982-09-14,101494400
1982-09-15,71747200
1982-09-16,80371200
1982-09-17,54051200
1982-09-20,39132800
1982-09-21,36668800
1982-09-22,103376000
1982-09-23,139820800
1982-09-24,178192000
1982-09-27,38147200
1982-09-28,85523200
1982-09-29,65564800
1982-09-30,74681600
1982-10-01,46256000
1982-10-04,69328000
1982-10-05,80236800
1982-10-06,173532800
1982-10-07,311673600
1982-10-08,275542400
1982-10-11,313734400
1982-10-12,258944000
1982-10-13,198844800
1982-10-14,178662400
1982-10-15,144614400
1982-10-18,94348800
1982-10-19,122841600
1982-10-20,242099200
1982-10-21,227516800
1982-10-22,161683200
1982-10-25,184934400
1982-10-26,167753600
1982-10-27,191161600
1982-10-28,217683200
1982-10-29,118115200
1982-11-01,104361600
1982-11-02,310844800
1982-11-03,235132800
1982-11-04,329078400
1982-11-05,141500800
1982-11-08,119190400
1982-11-09,179782400
1982-11-10,202787200
1982-11-11,123155200
1982-11-12,131107200
1982-11-15,124588800
1982-11-16,182022400
1982-11-17,144144000
1982-11-18,152678400
1982-11-19,97305600
1982-11-22,101248000
1982-11-23,88502400
1982-11-24,73740800
1982-11-26,101987200
1982-11-29,49952000
1982-11-30,159196800
1982-12-01,206841600
1982-12-02,164729600
1982-12-03,47577600
1982-12-06,146585600
1982-12-07,167283200
1982-12-08,112313600
1982-12-09,194656000
1982-12-10,167484800
1982-12-13,95379200
1982-12-14,270054400
1982-12-15,130793600
1982-12-16,141164800
1982-12-17,80729600
1982-12-20,69776000
1982-12-21,79945600
1982-12-22,101225600
1982-12-23,86979200
1982-12-27,61868800
1982-12-28,113366400
1982-12-29,80707200
1982-12-30,156867200
1982-12-31,49660800
1983-01-03,112828800
1983-01-04,223708800
1983-01-05,141545600
1983-01-06,97798400
1983-01-07,172054400
1983-01-10,275340800
1983-01-11,1388800
1983-01-12,176982400
1983-01-13,82275200
1983-01-14,184643200
1983-01-17,234864000
1983-01-18,219788800
1983-01-19,169657600
1983-01-20,707840000
1983-01-21,402595200
1983-01-24,315414400
1983-01-25,167036800
1983-01-26,203212800
1983-01-27,104316800
1983-01-28,397734400
1983-01-31,188003200
1983-02-01,210963200
1983-02-02,267052800
1983-02-03,252537600
1983-02-04,214345600
1983-02-07,142912000
1983-02-08,168112000
1983-02-09,180812800
1983-02-10,236723200
1983-02-11,203548800
1983-02-14,126179200
1983-02-15,115180800
1983-02-16,116569600
1983-02-17,136169600
1983-02-18,114889600
1983-02-22,196784000
1983-02-23,108035200
1983-02-24,115494400
1983-02-25,114688000
1983-02-28,132294400
1983-03-01,140268800
1983-03-02,105952000
1983-03-03,131532800
1983-03-04,151804800
1983-03-07,152678400
1983-03-08,220640000
1983-03-09,199337600
1983-03-10,112604800
1983-03-11,87763200
1983-03-14,171875200
1983-03-15,75062400
1983-03-16,110969600
1983-03-17,44150400
1983-03-18,86128000
1983-03-21,104025600
1983-03-22,101001600
1983-03-23,140761600
1983-03-24,102457600
1983-03-25,58060800
1983-03-28,74569600
1983-03-29,103734400
1983-03-30,87808000
1983-03-31,85142400
1983-04-04,127388800
1983-04-05,122102400
1983-04-06,213987200
1983-04-07,145510400
1983-04-08,150259200
1983-04-11,230473600
1983-04-12,174048000
1983-04-13,189772800
1983-04-14,136371200
1983-04-15,115001600
1983-04-18,155568000
1983-04-19,233878400
1983-04-20,288332800
1983-04-21,230048000
1983-04-22,127187200
1983-04-25,125708800
1983-04-26,99433600
1983-04-27,86038400
1983-04-28,79408000
1983-04-29,308313600
1983-05-02,97081600
1983-05-03,105996800
1983-05-04,129113600
1983-05-05,140492800
1983-05-06,100150400
1983-05-09,69171200
1983-05-10,51900800
1983-05-11,55260800
1983-05-12,98425600
1983-05-13,48966400
1983-05-16,69193600
1983-05-17,154358400
1983-05-18,157001600
1983-05-19,70291200
1983-05-20,146092800
1983-05-23,121744000
1983-05-24,107699200
1983-05-25,153731200
1983-05-26,105571200
1983-05-27,56627200
1983-05-31,45539200
1983-06-01,98089600
1983-06-02,79430400
1983-06-03,64534400
1983-06-06,104092800
1983-06-07,98179200
1983-06-08,84044800
1983-06-09,54790400
1983-06-10,37430400
1983-06-13,179267200
1983-06-14,170531200
1983-06-15,193356800
1983-06-16,122886400
1983-06-17,56044800
1983-06-20,139574400
1983-06-21,125462400
1983-06-22,140963200
1983-06-23,133996800
1983-06-24,47644800
1983-06-27,123043200
1983-06-28,349171200
1983-06-29,294380800
1983-06-30,110566400
1983-07-01,172256000
1983-07-05,82051200
1983-07-06,95916800
1983-07-07,89443200
1983-07-08,70179200
1983-07-11,112918400
1983-07-12,75196800
1983-07-13,129001600
1983-07-14,74905600
1983-07-15,67961600
1983-07-18,81625600
1983-07-19,171136000
1983-07-20,304886400
1983-07-21,317385600
1983-07-22,116435200
1983-07-25,76428800
1983-07-26,268979200
1983-07-27,300316800
1983-07-28,270480000
1983-07-29,220326400
1983-08-01,232444800
1983-08-02,101651200
1983-08-03,123827200
1983-08-04,292118400
1983-08-05,131420800
1983-08-08,76809600
1983-08-09,150371200
1983-08-10,161974400
1983-08-11,90182400
1983-08-12,74636800
1983-08-15,152275200
1983-08-16,91369600
1983-08-17,94438400
1983-08-18,81737600
1983-08-19,58598400
1983-08-22,85366400
1983-08-23,93587200
1983-08-24,113299200
1983-08-25,189772800
1983-08-26,93184000
1983-08-29,138297600
1983-08-30,233945600
1983-08-31,200233600
1983-09-01,218131200
1983-09-02,129337600
1983-09-06,181686400
1983-09-07,384854400
1983-09-08,307059200
1983-09-09,212688000
1983-09-12,266313600
1983-09-13,204176000
1983-09-14,181529600
1983-09-15,158838400
1983-09-16,225747200
1983-09-19,201980800
1983-09-20,226419200
1983-09-21,106355200
1983-09-22,144121600
1983-09-23,2832345600
1983-09-26,768768000
1983-09-27,417110400
1983-09-28,373497600
1983-09-29,282777600
1983-09-30,117868800
1983-10-03,152902400
1983-10-04,169612800
1983-10-05,190668800
1983-10-06,232937600
1983-10-07,246332800
1983-10-10,517126400
1983-10-11,252761600
1983-10-12,472617600
1983-10-13,420515200
1983-10-14,279260800
1983-10-17,219116800
1983-10-18,382972800
1983-10-19,287392000
1983-10-20,131689600
1983-10-21,157001600
1983-10-24,259392000
1983-10-25,168448000
1983-10-26,128912000
1983-10-27,97843200
1983-10-28,81200000
1983-10-31,173174400
1983-11-01,328384000
1983-11-02,202473600
1983-11-03,286003200
1983-11-04,146742400
1983-11-07,152118400
1983-11-08,1221516800
1983-11-09,353472000
1983-11-10,222073600
1983-11-11,116032000
1983-11-14,108281600
1983-11-15,118630400
1983-11-16,102278400
1983-11-17,90384000
1983-11-18,79900800
1983-11-21,105011200
1983-11-22,105190400
1983-11-23,114352000
1983-11-25,37296000
1983-11-28,72396800
1983-11-29,95289600
1983-11-30,64332800
1983-12-01,76675200
1983-12-02,85366400
1983-12-05,45158400
1983-12-06,51990400
1983-12-07,89152000
1983-12-08,137625600
1983-12-09,82768000
1983-12-12,65139200
1983-12-13,197545600
1983-12-14,201891200
1983-12-15,316601600
1983-12-16,184867200
1983-12-19,173600000
1983-12-20,177744000
1983-12-21,171785600
1983-12-22,130547200
1983-12-23,48563200
1983-12-27,96432000
1983-12-28,128553600
1983-12-29,102748800
1983-12-30,91862400
1984-01-03,150192000
1984-01-04,292611200
1984-01-05,305715200
1984-01-06,168492800
1984-01-09,215734400
1984-01-10,172188800
1984-01-11,175952000
1984-01-12,110342400
1984-01-13,121744000
1984-01-16,137580800
1984-01-17,149072000
1984-01-18,220505600
1984-01-19,149721600
1984-01-20,141344000
1984-01-23,278364800
1984-01-24,320230400
1984-01-25,263872000
1984-01-26,168492800
1984-01-27,194096000
1984-01-30,277468800
1984-01-31,345094400
1984-02-01,163116800
1984-02-02,134915200
1984-02-03,145488000
1984-02-06,165558400
1984-02-07,217728000
1984-02-08,148220800
1984-02-09,234796800
1984-02-10,143964800
1984-02-13,105728000
1984-02-14,209059200
1984-02-15,200838400
1984-02-16,105235200
1984-02-17,134646400
1984-02-21,120288000
1984-02-22,223372800
1984-02-23,155052800
1984-02-24,77817600
1984-02-27,121564800
1984-02-28,169926400
1984-02-29,134041600
1984-03-01,132361600
1984-03-02,191251200
1984-03-05,73606400
1984-03-06,98985600
1984-03-07,96566400
1984-03-08,129785600
1984-03-09,66057600
1984-03-12,125036800
1984-03-13,152880000
1984-03-14,59606400
1984-03-15,55283200
1984-03-16,124700800
1984-03-19,82588800
1984-03-20,100531200
1984-03-21,47667200
1984-03-22,51184000
1984-03-23,61129600
1984-03-26,56963200
1984-03-27,99299200
1984-03-28,75488000
1984-03-29,39177600
1984-03-30,45740800
1984-04-02,54656000
1984-04-03,44105600
1984-04-04,107676800
1984-04-05,82812800
1984-04-06,85590400
1984-04-09,54252800
1984-04-10,57097600
1984-04-11,70604800
1984-04-12,78400000
1984-04-13,103398400
1984-04-16,68118400
1984-04-17,332953600
1984-04-18,199673600
1984-04-19,123401600
1984-04-23,293865600
1984-04-24,281568000
1984-04-25,194880000
1984-04-26,318505600
1984-04-27,371996800
1984-04-30,293148800
1984-05-01,406515200
1984-05-02,317318400
1984-05-03,327420800
1984-05-04,260444800
1984-05-07,160070400
1984-05-08,255001600
1984-05-09,405014400
1984-05-10,238627200
1984-05-11,197724800
1984-05-14,89286400
1984-05-15,102704000
1984-05-16,219721600
1984-05-17,281948800
1984-05-18,193468800
1984-05-21,435052800
1984-05-22,301257600
1984-05-23,168963200
1984-05-24,193312000
1984-05-25,120108800
1984-05-29,156262400
1984-05-30,318438400
1984-05-31,167014400
1984-06-01,242300800
1984-06-04,148288000
1984-06-05,328428800
1984-06-06,161459200
1984-06-07,102547200
1984-06-08,108976000
1984-06-11,84246400
1984-06-12,117129600
1984-06-13,115718400
